date,open,close,high,low,volume,amount,amplitude,pct,change,turnover
2019-08-12,101.697,101.704,101.707,101.694,883512,8985285120.0,0.01,0.01,0.009,7.93
2019-08-13,101.707,101.71,101.715,101.707,630567,6413552384.0,0.01,0.01,0.006,5.66
2019-08-14,101.71,101.713,101.718,101.706,713081,7252766976.0,0.01,0.00,0.003,6.40
2019-08-15,101.719,101.714,101.721,101.712,693877,7057945856.0,0.01,0.00,0.001,6.23
2019-08-16,101.727,101.729,101.732,101.727,660416,6718295296.0,0.00,0.01,0.015,5.93
2019-08-19,101.731,101.724,101.739,101.723,800466,8143189248.0,0.02,0.00,-0.005,7.19
2019-08-20,101.723,101.736,101.74,101.723,758195,7713361920.0,0.02,0.01,0.012,6.81
2019-08-21,101.746,101.752,101.754,101.746,462848,4709528320.0,0.01,0.02,0.016,4.15
2019-08-22,101.758,101.764,101.766,101.757,675170,6870528768.0,0.01,0.01,0.012,6.06
2019-08-23,101.776,101.773,101.779,101.772,668538,6804122368.0,0.01,0.01,0.009,6.00
2019-08-26,101.772,101.782,101.784,101.77,707739,7203304448.0,0.01,0.01,0.009,6.35
2019-08-27,101.789,101.783,101.79,101.78,667336,6792464896.0,0.01,0.00,0.001,5.99
2019-08-28,101.794,101.792,101.796,101.789,642771,6542959104.0,0.01,0.01,0.009,5.77
2019-08-29,101.798,101.809,101.81,101.798,681076,6933508096.0,0.01,0.02,0.017,6.11
2019-08-30,101.817,101.826,101.832,101.816,580986,5915729152.0,0.02,0.02,0.017,5.22
2019-09-02,101.831,101.833,101.835,101.827,621844,6332373248.0,0.01,0.01,0.007,5.58
2019-09-03,101.839,101.841,101.843,101.837,452076,4603957504.0,0.01,0.01,0.008,4.06
2019-09-04,101.842,101.84,101.847,101.839,678425,6909339392.0,0.01,0.00,-0.001,6.09
2019-09-05,101.832,101.842,101.844,101.826,835850,8511775744.0,0.02,0.00,0.002,7.50
2019-09-06,101.854,101.864,101.868,101.851,724630,7380846080.0,0.02,0.02,0.022,6.50
2019-09-09,101.865,101.864,101.871,101.861,701976,7150827520.0,0.01,0.00,0.000,6.30
2019-09-10,101.872,101.874,101.875,101.869,590933,6019942656.0,0.01,0.01,0.010,5.30
2019-09-11,101.881,101.89,101.892,101.878,636083,6480604928.0,0.01,0.02,0.016,5.71
2019-09-12,101.906,101.92,101.923,101.905,509567,5193167872.0,0.02,0.03,0.030,4.57
2019-09-16,101.919,101.928,101.93,101.917,573123,5841333504.0,0.01,0.01,0.008,5.14
2019-09-17,101.933,101.952,101.953,101.931,598706,6103264000.0,0.02,0.02,0.024,5.37
2019-09-18,101.959,101.952,101.963,101.946,679471,6927522560.0,0.02,0.00,0.000,6.10
2019-09-19,101.952,101.943,101.954,101.94,565621,5766301440.0,0.01,-0.01,-0.009,5.08
2019-09-20,101.957,101.957,101.961,101.954,663171,6761503232.0,0.01,0.01,0.014,5.95
2019-09-23,101.962,101.959,101.965,101.956,621667,6338583040.0,0.01,0.00,0.002,5.58
2019-09-24,101.965,101.966,101.968,101.959,751643,7664038912.0,0.01,0.01,0.007,6.75
2019-09-25,101.973,101.983,101.986,101.971,628349,6407757056.0,0.01,0.02,0.017,5.64
2019-09-26,101.986,101.987,101.991,101.983,651869,6648190976.0,0.01,0.00,0.004,5.85
2019-09-27,102.0,102.014,102.016,101.994,604480,6165815296.0,0.02,0.03,0.027,5.43
2019-09-30,102.061,102.094,102.102,102.057,642393,6557188608.0,0.04,0.08,0.080,5.77
2019-10-08,102.073,102.094,102.096,102.072,627499,6405682944.0,0.02,0.00,0.000,5.63
2019-10-09,102.091,102.071,102.094,102.05,554900,5664813312.0,0.04,-0.02,-0.023,4.98
2019-10-10,102.08,102.078,102.085,102.076,599803,6122843136.0,0.01,0.01,0.007,5.38
2019-10-11,102.096,102.095,102.098,102.09,650954,6645895936.0,0.01,0.02,0.017,5.84
2019-10-14,102.094,102.098,102.099,102.09,744373,7599662592.0,0.01,0.00,0.003,6.68
2019-10-15,102.108,102.123,102.125,102.106,701483,7163153408.0,0.02,0.02,0.025,6.30
2019-10-16,102.124,102.131,102.134,102.123,550344,5620548096.0,0.01,0.01,0.008,4.94
2019-10-17,102.14,102.129,102.14,102.128,543400,5549844480.0,0.01,0.00,-0.002,4.88
